Date,SPY,FXE,EWJ,GLD,QQQ,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-04-25,119.076035,128.557632,50.211239,67.889999,41.856361,101.62571700000001,24.720675,51.32,16.482023,30.005121000000003,50.895363,30.445744,40.559093,0.91,-0.35,0.17,0.022000000000000002
2007-04-26,119.21145600000001,128.162857,49.969501,66.870003,42.073254,101.597832,24.614245999999998,50.939999,16.658414999999998,29.822492999999998,50.483711,30.275049,40.34383,-0.02,0.32,-0.34,0.022000000000000002
2007-04-27,119.11588300000001,128.745758,49.693245000000005,67.559998,42.091347,101.635017,24.294957999999998,51.84,16.556292000000003,29.760592,50.281624,30.16625,40.337086,-0.13,-0.3,-0.31,0.022000000000000002
2007-04-30,118.12805900000001,128.717438,49.313373999999996,67.089996,41.540009000000005,101.653603,24.043398,51.240002000000004,16.2623,29.186424,49.772671,29.782207,40.370728,-0.93,-0.91,0.02,0.022000000000000002
2007-05-01,118.430756,128.330093,49.313373999999996,66.690002,41.503864,101.68253299999999,24.440089999999998,50.360001000000004,16.389177,29.214281,49.959789,29.89102,40.34383,0.22,-0.09,0.03,0.018000000000000002
2007-05-02,119.12381,128.198151,49.589642,66.660004,41.955776,101.729088,24.304634,49.59,16.701736,29.760592,50.708244,30.275049,40.559093,0.79,0.62,0.02,0.018000000000000002
2007-05-03,119.76909599999999,127.821091,49.658703,67.489998,42.109435999999995,101.738419,24.614245999999998,49.279999,16.649128,30.294521000000003,50.835484,30.494815999999997,40.559093,0.37,-0.36,0.32,0.018000000000000002
2007-05-04,120.22313700000001,128.254684,49.831375,68.190002,42.145579999999995,101.75703399999999,24.77873,48.299999,16.652224,30.627246999999997,51.089973,30.659101,40.895472999999996,0.25,0.18,-0.02,0.018000000000000002
2007-05-07,120.247009,128.26414499999998,50.073109,68.25,42.145579999999995,101.738419,24.498142,48.060001,16.633657,30.506538,51.531555,30.746571999999997,40.902195,0.18,-0.37,0.32,0.018000000000000002
2007-05-08,120.08771499999999,127.73622900000001,49.969501,67.879997,42.235946999999996,101.775665,24.024046,48.639998999999996,16.605806,30.286773999999998,51.022602,30.558819,40.586014,-0.13,-0.03,-0.11,0.018000000000000002
2007-05-09,120.41433700000002,127.764496,50.591095,67.449997,42.326344,101.831642,24.091776,48.009997999999996,16.615085999999998,31.153439000000002,51.134872,30.932196,40.740738,0.35,0.07,-0.03,0.018000000000000002
2007-05-10,119.155647,127.255486,49.831375,66.0,41.747890000000005,101.840965,23.917616,48.150002,16.253014,30.405936999999998,50.109482,30.50975,39.771996,-1.42,-0.5,0.29,0.018000000000000002
2007-05-11,120.17532299999999,127.717354,50.211239,66.449997,42.281143,101.850266,24.507818,48.57,16.5532,30.933683000000002,50.266666,31.060207000000002,40.633091,0.95,0.18,0.06,0.018000000000000002
2007-05-14,119.91248300000001,127.792755,50.073109,66.279999,41.991913000000004,101.859627,24.440089999999998,48.560001,16.466542999999998,30.565351,50.281624,30.893789,40.431282,-0.28,-0.61,0.07,0.018000000000000002
2007-05-15,119.944336,128.198151,49.658703,66.540001,41.666546000000004,101.896889,24.517494,48.990002000000004,16.398467999999998,30.72011,49.862488,30.795645,40.720551,-0.27,-0.8,0.28,0.018000000000000002
2007-05-16,120.764839,127.67028799999999,49.762306,65.599998,42.073254,101.952797,24.47879,48.529999,16.497492,31.763196999999998,50.259171,30.787106,40.767643,0.82,-0.21,0.05,0.018000000000000002
2007-05-17,120.525856,127.349792,49.347908000000004,65.059998,41.874428,101.962082,24.314308,50.16,16.398467999999998,31.726053000000004,49.398445,30.915121000000003,40.565822999999995,-0.1,-0.34,0.03,0.018000000000000002
2007-05-18,121.57739299999999,127.613724,49.209773999999996,65.519997,42.217876000000004,101.97144300000001,24.072422,50.099998,16.519154,32.179520000000004,50.109482,30.987656,41.27219,0.66,0.39,-0.49,0.018000000000000002
